frank f. de groot;alain  fontaine
s  w. cheong;a. h. lacerda
david a. huse;p. l. gammel
q. z. huang;robert j. cava
josé a. riera;josé  lorenzana
matthew a. fisher;charles l. kane
gustaaf  borghs;robin j. nicholas
bruce d. mccombe;krishan k. bajaj
elisa  molinari;stephan w. koch
s  w. cheong;w. c. lee
gustaaf  borghs;t. m. klapwijk
rajiv p. singh;z. q. wang
karl  syassen;tobias  ruf
robert n. shelton;jeffrey w. lynn
bo¨rje  johansson;rajeev  ahuja
j. d. thompson;j. l. smith
t. m. klapwijk;s.  radelaar
y. g. chen;franco  bassani
robert j. gooding;elbio r. dagotto
r.  heitz;bruno k. meyer
peter a. fedders;stefan k. estreicher
leonid i. glazman;malcolm r. beasley
isao  tanaka;kunimitsu  uchinokura
c. t. foxon;r. s. fletcher
gerhard  abstreiter;bruno k. meyer
u. w. welp;j. e. crow
rolf j. haug;klaus v. klitzing
z. x. zhao;f. g. bridges
gene  dresselhaus;y. x. wang
j. j. harris;r. s. fletcher
h. c. ku;k. j. chang
d. l. lin;c. y. chen
j. m. lawrence;paul c. canfield
boyd w. veal;a. j. arko
k. e. miyano;joseph c. woicik
isao  tanaka;paul c. canfield
alois a. menovsky;peter h. kes
klaus h. ploog;g. h. li
stephan w. koch;klaus h. ploog
leonardo  degiorgi;michael  schreiber
klaus h. ploog;roberto  cingolani
t. m. klapwijk;jörg p. kotthaus
m. p. maley;q. b. li
holger t. grahn;w. w. rühle
robert j. cava;s. i. uchida
nitin  samarth;miles v. klein
gernot  güntherodt;yvan  bruynseraede
m. brian maple;david g. stroud
h. g. luo;d. s. kim
r. s. liu;a. j. arko
klaus v. klitzing;rolf j. haug
g.  landwehr;p. s. thomas
kunimitsu  uchinokura;john m. tranquada
n. n. ledentsov;dieter  bimberg
masaaki  nakayama;isao  tanaka
m. s. skolnick;david m. whittaker
m. brian maple;jeffrey w. lynn
yasuo  endoh;marc a. kastner
r. s. liu;s  w. cheong
john m. wills;per  söderlind
u. w. welp;t. f. rosenbaum
noboru  miura;jozef t. devreese
jörg  weber;martin  stutzmann
daniel c. tsui;mansour  shayegan
peter h. kes;gianni  blatter
uzi  landman;eduard n. bogachek
robert j. birgeneau;c. y. chen
r. s. fletcher;j. j. harris
randy s. fishman;samuel h. liu
klaus v. klitzing;dieter  weiss
m. p. maley;alan r. bishop
john j. rehr;f. g. bridges
gerhard  abstreiter;mansour  shayegan
thomas l. reinecke;kenneth w. west
risto m. nieminen;p.  hautojärvi
paul c. canfield;a. j. arko
d. k. finnemore;david c. johnston
k. m. ho;costas m. soukoulis
r. s. liu;miles v. klein
c. y. chen;tobias  ruf
axel  hoffmann;r.  heitz
jacek k. furdyna;jerry r. meyer
boris a. malomed;alexey v. ustinov
manuel  cardona;g. h. li
t. c. venkatesan;j. l. peng
marc a. kastner;isao  tanaka
gerrit w. bauer;giyuu  kido
carlos  trallero-giner;manuel  cardona
poul erik lindelof;p. c. main
enzo  granato;s. c. ying
michael  pepper;david a. ritchie
franz j. himpsel;m. f. onellion
rodolfo  del sole;friedhelm  bechstedt
k. a. chao;magnus  willander
robert j. gooding;peter w. leung
noboru  miura;françois m. peeters
j. l. peng;jefferson z. liu
loren n. pfeiffer;l. j. sham
robert l. stamps;x. j. liu
c. g. olson;r. s. liu
paul c. canfield;h. r. ott
boris i. ivlev;m. p. maley
peter c. eklund;gene  dresselhaus
c. osvaldo rodriguez;niels egede christensen
peter h. kes;valerii m. vinokur
elisa  molinari;paolo  lugli
ole k. andersen;c. osvaldo rodriguez
klaus  köhler;d. s. kim
jacek k. furdyna;grzegorz  karczewski
j. j. harris;c. t. foxon
m.  sundaram;p. o. holtz
j. w. wagner;manuel  cardona
zachary  fisk;saul b. oseroff
o. g. brandt;g. h. li
robert j. birgeneau;gen  shirane
loren n. pfeiffer;jagdeep  shah
lynn a. boatner;c. k. loong
m. e. raikh;jerry m. olson
j. d. thompson;saul b. oseroff
klaus h. ploog;fausto  rossi
lev n. bulaevskii;peter h. kes
zachary  fisk;bohdan  andraka
t. t. suzuki;isao  tanaka
miles v. klein;nitin  samarth
arthur c. gossard;robert m. westervelt
bernard  gil;christian  jouanin
john e. fischer;takeshi  egami
valerii m. vinokur;peter h. kes
wolfgang  hübner;karl h. bennemann
manuel  cardona;christian  thomsen
gene  dresselhaus;peter c. eklund
p.  vasilopoulos;w. t. xu
manuel  cardona;friedhelm  bechstedt
mats  wallin;s. m. girvin
weimin m. chen;bo  monemar
charles l. kane;matthew a. fisher
x. g. wen;patrick a. lee
h. a. fertig;allan h. macdonald
frank  marsiglio;jorge e. hirsch
michael  pepper;james t. nicholls
daniel s. chemla;stephan  glutsch
gen  shirane;yasuo  endoh
rajeev  ahuja;per  söderlind
alex  zunger;s. h. wei
boyd w. veal;jack m. williams
f. g. bridges;c. w. chu
p. a. knipp;alfred  forchel
james d. jorgensen;boyd w. veal
alexei e. koshelev;valerii m. vinokur
p. o. holtz;m.  sundaram
günter  kaindl;jörg  fink
m.  sundaram;heinz  kalt
carlos  tejedor;enrique  louis
l.  soderholm;lynn a. boatner
enrique  louis;francisco  guinea
magnus  willander;p. o. holtz
s  w. cheong;m. brian maple
lev b. ioffe;alexei m. tsvelik
roberto  cingolani;karl  syassen
giyuu  kido;yoshinobu  aoyagi
r.  nagarajan;jeffrey w. lynn
david h. vanderbilt;karin m. rabe
jagdeep  shah;kenneth w. west
peter  weinberger;josef  kudrnovský
martti j. puska;p.  hautojärvi
michael  pepper;k. f. berggren
takeshi  egami;sunil k. sinha
matthias  scheffler;paul m. marcus
klaus h. ploog;rolf j. haug
martti j. puska;risto m. nieminen
b. d. dabrowski;d. k. finnemore
klaus v. klitzing;klaus h. ploog
b. d. dabrowski;thomas  timusk
h. a. fertig;thomas l. reinecke
richard  berkovits;yshai  avishai
loren n. pfeiffer;thomas l. reinecke
paul c. canfield;peter  weinberger
toshizo  fujita;giyuu  kido
p. s. thomas;g.  landwehr
jörg p. kotthaus;t. m. klapwijk
thomas l. reinecke;loren n. pfeiffer
leonardo  degiorgi;h. r. ott
julio a. alonso;angel  rubio
j. m. lawrence;j. d. thompson
s. c. zhang;allan h. macdonald
zachary  fisk;alois a. menovsky
s. lance cooper;thomas  timusk
j. l. peng;jeffrey w. lynn
amnon  aharony;ora  entin-wohlman
igor i. mazin;c. osvaldo rodriguez
j. l. merz;arthur c. gossard
p. o. holtz;heinz  kalt
samuel h. liu;randy s. fishman
kenji k. kobayashi;robert j. cava
enrique  louis;carlos  tejedor
a. h. lacerda;j. m. lawrence
z. q. wang;y. x. wang
c.  stassis;paul c. canfield
kenneth w. west;jagdeep  shah
karl h. bennemann;h. g. zheng
jeffrey w. lynn;m. brian maple
klaus h. ploog;dieter  weiss
ting kuo lee;adriana  moreo
j. w. wagner;klaus  köhler
ross w. erwin;jeffrey w. lynn
dieter  bimberg;arthur c. gossard
franco  bassani;y. g. chen
q. b. li;naoki  koshizuka
james d. jorgensen;f. c. chou
zachary  fisk;h. r. ott
miles v. klein;r. s. liu
gen  shirane;kunimitsu  uchinokura
john r. clem;lev n. bulaevskii
graeme j. ackland;michael c. payne
j. m. lawrence;a. h. lacerda
alain  fontaine;frank f. de groot
poul erik lindelof;k. f. berggren
f. c. chou;s  w. cheong
c. t. chen;george a. sawatzky
y. c. chang;miles v. klein
s  w. cheong;david c. johnston
karl h. bennemann;wolfgang  hübner
börje  johansson;rajeev  ahuja
didier  poilblanc;josé a. riera
isao  tanaka;masaaki  nakayama
holger t. grahn;gustaaf  borghs
mansour  shayegan;gerhard  abstreiter
leo  miglio;giorgio  benedek
david a. ritchie;michael  pepper
george a. sawatzky;c. t. chen
ole k. andersen;alexander i. liechtenstein
s. i. uchida;kenji k. kobayashi
q. b. li;lev n. bulaevskii
x. b. wang;j. l. zhu
per  söderlind;bo¨rje  johansson
j. l. smith;robert h. heffner
zeev v. vardeny;m. e. raikh
franz j. himpsel;thomas a. callcott
h. r. ott;zachary  fisk
robin j. nicholas;c. t. foxon
robert h. heffner;j. l. smith
h. d. drew;sankar  das sarma
manfred  fähnle;c. t. chan
john m. wills;john w. wilkins
rajeev  ahuja;o. e. eriksson
per  söderlind;rajeev  ahuja
fausto  rossi;p. s. thomas
valerii m. vinokur;m. p. maley
george h. kwei;j. m. lawrence
p. o. holtz;arthur c. gossard
roberto  cingolani;klaus h. ploog
s. y. tong;franco  jona
bruce d. mccombe;a.  petrou
t. r. kirkpatrick;d.  belitz
yasuo  endoh;robert j. birgeneau
hiroshi  eisaki;s. i. uchida
lev n. bulaevskii;john r. clem
claudio  castellani;carlo  di castro
c. k. loong;l.  soderholm
h.  van kempen;t. m. klapwijk
karl  syassen;klaus h. ploog
j. d. thompson;a. h. lacerda
hubert  ebert;peter  weinberger
g. h. li;karl  syassen
per  söderlind;hans l. skriver
ulf o. karlsson;janusz  kanski
ernst helmut brandt;marcin  konczykowski
miles v. klein;jacek k. furdyna
a. j. arko;paul c. canfield
y. c. chang;jacek k. furdyna
holger t. grahn;o. g. brandt
y. y. xue;r. l. meng
s  w. cheong;zachary  fisk
peter  weinberger;rudolf  zeller
simon j. bending;klaus h. ploog
boyd w. veal;r. s. liu
marcin  konczykowski;valerii m. vinokur
alexey v. ustinov;boris a. malomed
m. brian maple;boyd w. veal
david c. johnston;james d. jorgensen
gianni  blatter;peter h. kes
lev n. bulaevskii;a. h. lacerda
o. e. eriksson;rajeev  ahuja
peter h. dederichs;lászló  szunyogh
klaus  köhler;j. w. wagner
lars  börjesson;christian  thomsen
niels egede christensen;manuel  cardona
j. l. peng;christopher j. lobb
d.  belitz;t. r. kirkpatrick
weimin m. chen;p. o. holtz
kenji k. kobayashi;masaru  tsukada
lucio  braicovich;lamberto  duò
sergio e. ulloa;david a. drabold
rolf r. gerhardts;allan h. macdonald
w. w. rühle;holger t. grahn
karl  syassen;manuel  cardona
y. b. xu;w. y. ching
allan h. macdonald;rolf r. gerhardts
takeshi  egami;hisao  yamauchi
j. l. smith;alois a. menovsky
m. p. maley;a. h. lacerda
r. s. liu;s. lance cooper
heinz  kalt;arthur c. gossard
yosef  yeshurun;aharon  kapitulnik
atsushi  fujimori;seiichiro  suga
heinz  kalt;bo  monemar
mario  poirier;frank  marsiglio
manuel  cardona;karl  syassen
david l. ederer;franz j. himpsel
pierre  lefebvre;henry  mathieu
paul c. canfield;c.  stassis
arthur c. gossard;s. c. zhang
j. a. mydosh;alois a. menovsky
kenneth w. west;thomas l. reinecke
alexander i. liechtenstein;ole k. andersen
m. m. sigalas;costas m. soukoulis
robert j. cava;jeffrey w. lynn
r. p. huebener;rudolf  gross
david a. drabold;otto f. sankey
john h. weaver;c. g. olson
c. a. balseiro;armando a. aligia
t. m. klapwijk;gustaaf  borghs
david c. johnston;zachary  fisk
michele  parrinello;john h. weaver
jagdeep  shah;klaus  köhler
john m. wills;rajeev  ahuja
d. k. finnemore;paul c. canfield
o. g. brandt;klaus h. ploog
klaus h. ploog;stephan w. koch
hiroshi  eisaki;atsushi  fujimori
y. x. liu;s. l. qiu
doon  gibbs;richard l. greene
gustaaf  borghs;w. w. rühle
lev n. bulaevskii;m. p. maley
robert n. shelton;j. l. peng
kunimitsu  uchinokura;isao  tanaka
richard l. greene;t. c. venkatesan
sankar  das sarma;x. c. xie
arthur c. gossard;heinz  kalt
p. c. main;laurence  eaves
naoki  koshizuka;kunimitsu  uchinokura
ernst  bucher;dave g. hinks
paul c. canfield;bruce n. harmon
simon j. bending;rolf j. haug
s. lance cooper;w. c. lee
yasuo  endoh;isao  tanaka
k.  saarinen;p.  hautojärvi
costas m. soukoulis;c. t. chan
c. g. olson;john h. weaver
mats  wallin;a. peter young
bo  monemar;j. l. merz
thomas a. callcott;louis j. terminello
t. t. suzuki;giyuu  kido
kunimitsu  uchinokura;noboru  miura
nitin  samarth;h. g. luo
isao  tanaka;marc a. kastner
lev n. bulaevskii;q. b. li
j. l. merz;m.  sundaram
j. p. carbotte;frank  marsiglio
carlos  rettori;zachary  fisk
günther  bauer;gerhard  abstreiter
alan r. bishop;m. p. maley
peter h. dederichs;peter  weinberger
václav  drchal;josef  kudrnovský
george a. sawatzky;atsushi  fujimori
yoshinobu  aoyagi;gerrit w. bauer
didier  poilblanc;t. maurice rice
xi xian yao;z. x. zhao
john r. clem;marcin  konczykowski
s  w. cheong;s. lance cooper
george a. sawatzky;robert  eder
martin  stutzmann;jörg  weber
c. w. chu;jeffrey w. lynn
david c. johnston;paul c. canfield
leonardo  degiorgi;peter  wachter
fausto  rossi;elisa  molinari
richard j. needs;peter b. littlewood
jerry r. meyer;jacek k. furdyna
isao  tanaka;john m. tranquada
douglas j. scalapino;didier  poilblanc
s.  radelaar;t. m. klapwijk
james d. jorgensen;j. l. peng
rolf j. haug;simon j. bending
m.  sundaram;arthur c. gossard
rudolf  zeller;peter h. dederichs
masashi  tachiki;takeshi  egami
elisa  molinari;fausto  rossi
peter b. littlewood;x. d. zhu
klaus h. ploog;karl  syassen
sankar  das sarma;s. c. zhang
matthew a. fisher;a. peter young
f. r. de boer;alois a. menovsky
seiichiro  suga;atsushi  fujimori
franz j. himpsel;louis j. terminello
michael r. norman;allan h. macdonald
mucio a. continentino;a. h. lacerda
james d. jorgensen;george h. kwei
m. m. sigalas;c. t. chan
john w. wilkins;john h. davies
josé  lorenzana;george a. sawatzky
paul c. canfield;jeffrey w. lynn
david k. ferry;yoshinobu  aoyagi
ole k. andersen;igor i. mazin
lászló  szunyogh;peter h. dederichs
karl  syassen;o. g. brandt
robin j. nicholas;jozef t. devreese
zachary  fisk;paul c. canfield
william c. mitchel;bruce d. mccombe
richard m. martin;david a. drabold
robert j. cava;j. r. cooper
franz j. himpsel;david l. ederer
marcin  konczykowski;george w. crabtree
j. r. cooper;robert j. cava
david a. ritchie;james t. nicholls
jörg p. kotthaus;g. w. weimann
klaus h. ploog;yukihiko  takagaki
richard l. greene;j. l. peng
gernot  güntherodt;m. f. onellion
david w. lynch;c. g. olson
george w. crabtree;marcin  konczykowski
j. l. smith;bohdan  andraka
stephen m. shapiro;gen  shirane
christopher j. lobb;richard l. greene
f. c. chou;zachary  fisk
robert j. cava;q. z. huang
robert h. heffner;j. d. thompson
robert j. cava;hidenori  takagi
michael c. payne;graeme j. ackland
b. d. dabrowski;j. e. crow
i.  miotkowski;a. k. ramdas
h. g. luo;y. c. chang
j. m. franse;f. r. de boer
costas m. soukoulis;m. m. sigalas
klaus h. ploog;p. s. thomas
robin j. nicholas;noboru  miura
david a. ritchie;k. f. berggren
robert n. shelton;m. brian maple
john  singleton;j. j. harris
douglas j. scalapino;richard t. scalettar
j. m. lawrence;a. j. arko
t. t. suzuki;seiichiro  suga
david j. singh;warren e. pickett
stephen m. shapiro;j. a. mydosh
alfonso  franciosi;roberto  cingolani
john  singleton;françois m. peeters
a. peter young;matthew a. fisher
malcolm r. beasley;leonid i. glazman
jose a. vergés;enrique  louis
josef  kudrnovský;alain  pasturel
karen a. hallberg;armando a. aligia
peter  wyder;ole k. andersen
klaus  köhler;manuel  cardona
miles v. klein;boyd w. veal
louis j. terminello;thomas a. callcott
zachary  fisk;z. x. shen
rudolf  gross;r. p. huebener
s  w. cheong;f. c. chou
saul b. oseroff;carlos  rettori
klaus  ensslin;jörg p. kotthaus
r. s. liu;c. g. olson
patrick a. lee;akira  furusaki
boyd w. veal;m. brian maple
j. d. thompson;zachary  fisk
warren e. pickett;david j. singh
christian  thomsen;lars  börjesson
thomas m. palstra;s  w. cheong
armando a. aligia;karen a. hallberg
m.  marsi;m. f. onellion
sankar  das sarma;x. d. zhu
elbio r. dagotto;robert j. gooding
kenji k. kobayashi;s. i. uchida
elbio r. dagotto;ting kuo lee
dave g. hinks;james d. jorgensen
q. b. li;peter h. kes
michael a. stroscio;k. w. kim
hans l. skriver;o. e. eriksson
p.  hautojärvi;risto m. nieminen
c. y. chen;marc a. kastner
eugene e. haller;gerhard  abstreiter
john  singleton;gustaaf  borghs
manuel  cardona;niels egede christensen
miles v. klein;s  w. cheong
c. w. chu;r. l. meng
paul c. canfield;j. l. smith
t. t. suzuki;toshizo  fujita
k. f. berggren;poul erik lindelof
heinrich m. jaeger;boyd w. veal
thomas peter devereaux;richard t. scalettar
mitra  dutta;a.  petrou
gene  dresselhaus;mildred s. dresselhaus
c. g. olson;b. i. min
boris i. ivlev;gianni  blatter
lev n. bulaevskii;vladimir g. kogan
benjamin  segall;walter l. lambrecht
jozef t. devreese;robin j. nicholas
leonid i. glazman;charles l. kane
t. maurice rice;didier  poilblanc
ulrich  merkt;ulrich  rössler
noboru  miura;isao  tanaka
m.  weinert;richard e. watson
marcin  konczykowski;ernst helmut brandt
karl  syassen;g. h. li
j. d. thompson;s  w. cheong
peter c. eklund;mildred s. dresselhaus
j. d. thompson;paul c. canfield
hisao  yamauchi;naoki  koshizuka
manuel  cardona;igor i. mazin
k. e. miyano;thomas a. callcott
allan h. macdonald;s. c. zhang
j. j. harris;françois m. peeters
s. m. girvin;matthew a. fisher
a. j. arko;j. d. thompson
fausto  rossi;paolo  lugli
manuel  barranco;j. m. navarro
r. s. liu;jack m. williams
j. a. schmidt;bo  monemar
börje  johansson;hans l. skriver
robert  eder;sadamichi  maekawa
gustaaf  borghs;holger t. grahn
paul c. canfield;ross w. erwin
peter  wachter;leonardo  degiorgi
dimitrios a. papaconstantopoulos;m. m. sigalas
a. k. ramdas;eugene e. haller
b. i. min;c. g. olson
robert e. camley;robert l. stamps
jacek k. furdyna;miles v. klein
naoki  koshizuka;hisao  yamauchi
c. osvaldo rodriguez;ole k. andersen
yasuhiko  syono;masashi  tachiki
david w. lynch;bruce n. harmon
mark c. croft;w. t. xu
michael  schreiber;peter  wachter
christopher j. lobb;j. l. peng
jacek k. furdyna;y. c. chang
gen  shirane;stephen m. shapiro
jacek k. furdyna;d. s. kim
x. d. zhu;sankar  das sarma
j. f. wang;y. q. zhou
nitin  samarth;y. c. chang
h. g. luo;miles v. klein
j. p. carbotte;mario  poirier
george w. crabtree;t. f. rosenbaum
manuel  cardona;martin  stutzmann
david c. johnston;f. c. chou
isao  tanaka;zachary  fisk
gen  shirane;isao  tanaka
robert j. cava;atsushi  fujimori
p. s. thomas;klaus h. ploog
j. l. peng;t. c. venkatesan
klaus v. klitzing;c. t. foxon
james d. jorgensen;b. d. dabrowski
jean paul pouget;mario  poirier
gerhard  abstreiter;elisa  molinari
isao  tanaka;robert j. birgeneau
paul c. canfield;robert h. heffner
john w. wilkins;john m. wills
manuel  cardona;tobias  ruf
gerrit w. bauer;yoshinobu  aoyagi
david g. stroud;david j. bergman
adriana  moreo;josé a. riera
elisa  molinari;gerhard  abstreiter
chang hoon lee;alan j. heeger
j. f. wang;x. b. wang
klaus h. ploog;tobias  ruf
arthur c. gossard;bo  monemar
ulrich  rössler;bruno k. meyer
bo  monemar;j. a. schmidt
a. h. lacerda;m. p. maley
s. i. uchida;sunil k. sinha
allan h. macdonald;michael r. norman
doon  gibbs;j. l. peng
loren n. pfeiffer;d. s. kim
hidenori  takagi;robert j. cava
václav  drchal;alain  pasturel
krishan k. bajaj;donald c. reynolds
ivan k. schuller;m. h. grimsditch
john h. weaver;david w. lynch
fausto  rossi;stephan w. koch
s. i. uchida;atsushi  fujimori
peter a. fedders;david a. drabold
alan r. bishop;david  schmeltzer
zachary  fisk;j. l. smith
o. e. eriksson;börje  johansson
a. k. ramdas;i.  miotkowski
j. m. lawrence;george h. kwei
jacek k. furdyna;a. k. ramdas
james d. jorgensen;thomas  timusk
h. a. fertig;luis  brey
alfred  forchel;v. d. kulakovskii
robert j. cava;kenji k. kobayashi
hiroshi  eisaki;kenji k. kobayashi
s. c. zhang;x. c. xie
börje  johansson;o. e. eriksson
weimin m. chen;j. a. schmidt
klaus  maschke;p. s. thomas
a. j. arko;boyd w. veal
h. q. lin;jorge e. hirsch
g. r. stewart;t. f. rosenbaum
peter h. kes;george w. crabtree
walter n. hardy;th.  wolf
paul c. canfield;david c. johnston
manuel  barranco;julio a. alonso
loren n. pfeiffer;kenneth w. west
james t. nicholls;michael  pepper
o. g. brandt;karl  syassen
marco  grilli;claudio  castellani
bruce n. harmon;david w. lynch
jack m. williams;r. s. liu
james d. jorgensen;dave g. hinks
david c. johnston;robert j. gooding
c. osvaldo rodriguez;alexander i. liechtenstein
alain  pasturel;josef  kudrnovský
c. t. chen;robert j. cava
martti j. puska;k.  saarinen
luis  brey;carlos  tejedor
peter b. littlewood;thomas m. palstra
jeffrey w. lynn;robert n. shelton
theodore h. geballe;malcolm r. beasley
klaus h. ploog;heinz  kalt
bo¨rje  johansson;john m. wills
d. s. kim;klaus  köhler
d. m. bylander;leonard  kleinman
nitin  samarth;jacek k. furdyna
otto f. sankey;david a. drabold
bohdan  andraka;j. l. smith
miles v. klein;s. lance cooper
marcello  colocci;massimo  gurioli
hadis  morkoç;walter l. lambrecht
manuel  cardona;klaus  köhler
r. s. fletcher;c. t. foxon
richard l. greene;christopher j. lobb
m. p. maley;valerii m. vinokur
j. l. peng;james d. jorgensen
j. e. crow;bohdan  andraka
benjamin  segall;hadis  morkoç
takeshi  egami;john e. fischer
robert j. cava;c. t. chen
giorgio  benedek;leo  miglio
risto m. nieminen;k.  saarinen
r. p. huebener;alexey v. ustinov
allan h. macdonald;s. m. girvin
hadis  morkoç;d. s. kim
arthur j. freeman;alessandra  continenza
fred h. pollak;godfrey  gumbs
karsten w. jacobsen;klaus  kern
o. e. eriksson;bo¨rje  johansson
david c. johnston;ross w. erwin
manuel  cardona;klaus h. ploog
hadis  morkoç;benjamin  segall
günther  bauer;i.  miotkowski
j. a. schmidt;weimin m. chen
c. w. chu;q. z. huang
k. w. schwarz;peter  blaha
manfred  neumann;gunnar  borstel
a.  twardowski;a.  petrou
rodrigo b. capaz;john. d. joannopoulos
x. g. wen;akira  furusaki
isao  tanaka;noboru  miura
bruno k. meyer;ulrich  rössler
w. t. xu;mark c. croft
akira  furusaki;x. g. wen
efthimios  kaxiras;john. d. joannopoulos
r.  nagarajan;sunil k. sinha
gianni  blatter;alois a. menovsky
alois a. menovsky;j. a. mydosh
p.  hautojärvi;martti j. puska
yoshinori  tokura;atsushi  fujimori
gen  shirane;john m. tranquada
george a. sawatzky;josé  lorenzana
krishan k. bajaj;bruce d. mccombe
norio  kawakami;seiichiro  suga
vladimir z. kresin;th.  wolf
thierry  giamarchi;chandra m. varma
alois a. menovsky;f. r. de boer
boyd w. veal;c. g. olson
david a. drabold;richard m. martin
risto m. nieminen;martti j. puska
gerhard  abstreiter;günther  bauer
george w. crabtree;peter h. kes
john h. davies;john w. wilkins
klaus  ensslin;g. w. weimann
john m. wills;börje  johansson
george w. crabtree;valerii m. vinokur
c. w. chu;eric d. bauer
james d. jorgensen;david c. johnston
m. brian maple;s  w. cheong
marc a. kastner;gen  shirane
john h. weaver;michele  parrinello
sunil k. sinha;r.  nagarajan
zachary  fisk;j. d. thompson
alain  pasturel;václav  drchal
a. peter young;mats  wallin
miles v. klein;h. g. luo
jeffrey w. lynn;ross w. erwin
marc a. kastner;c. y. chen
laurence  eaves;p. c. main
bo  monemar;p. o. holtz
j. p. carbotte;thomas  timusk
thomas l. reinecke;jagdeep  shah
c. t. foxon;klaus v. klitzing
hidenori  takagi;hiroshi  eisaki
jefferson z. liu;m. brian maple
magnus  willander;k. a. chao
eric d. bauer;c. w. chu
antoni  planes;c.  stassis
m. f. onellion;g.  margaritondo
françois m. peeters;john  singleton
thierry  giamarchi;pierre  le doussal
w. w. rühle;gustaaf  borghs
mark c. croft;z. y. zhang
mario  poirier;j. p. carbotte
yasuo  endoh;gen  shirane
matthew a. fisher;mats  wallin
t. t. suzuki;atsushi  fujimori
f. g. bridges;z. x. zhao
lev n. bulaevskii;boris i. ivlev
jorge e. hirsch;h. q. lin
richard m. martin;a. m. bradshaw
