frank f. de groot;alain  fontaine
c. y. chen;j. d. thompson
j. j. harris;robin j. nicholas
godfrey  gumbs;fred h. pollak
h. r. ott;paul c. canfield
heinz  kalt;klaus h. ploog
adriana  moreo;ting kuo lee
thomas a. callcott;k. e. miyano
k.  saarinen;martti j. puska
frank  marsiglio;j. p. carbotte
friedhelm  bechstedt;stephan  glutsch
václav  drchal;lászló  szunyogh
u. w. welp;b. d. dabrowski
valerii m. vinokur;lev n. bulaevskii
saul b. oseroff;zachary  fisk
mahito  kohmoto;yshai  avishai
ting kuo lee;elbio r. dagotto
p. a. knipp;thomas l. reinecke
b. d. dabrowski;james d. jorgensen
friedhelm  bechstedt;daniel s. chemla
j. l. smith;r.  nagarajan
thomas  timusk;b. d. dabrowski
stephan w. koch;elisa  molinari
jeffrey w. lynn;h. c. ku
c. t. foxon;dieter  weiss
peter w. leung;robert j. gooding
frank  marsiglio;mario  poirier
c. y. chen;d. l. lin
c. g. olson;david w. lynch
m. e. raikh;zeev v. vardeny
václav  drchal;peter  weinberger
christian  jouanin;bernard  gil
chandra m. varma;thierry  giamarchi
vladimir g. kogan;lev n. bulaevskii
john m. wills;o. e. eriksson
k. j. chang;h. c. ku
atsushi  fujimori;t. t. suzuki
karin m. rabe;david h. vanderbilt
robert  eder;george a. sawatzky
gen  shirane;robert j. birgeneau
d. s. kim;jagdeep  shah
bruce n. harmon;paul c. canfield
arthur c. gossard;j. l. merz
j. d. thompson;j. m. lawrence
david l. ederer;k. e. miyano
niels egede christensen;c. osvaldo rodriguez
m. brian maple;j. l. peng
jörg  fink;olle  gunnarsson
c. k. loong;lynn a. boatner
elbio r. dagotto;adriana  moreo
c. w. chu;y. y. xue
rajeev  ahuja;börje  johansson
b. d. dabrowski;dave g. hinks
y. y. xue;c. w. chu
thomas l. reinecke;h. a. fertig
mark w. coffey;jacek k. furdyna
m. brian maple;robert n. shelton
alex  zunger;joan  adler
m. brian maple;bohdan  andraka
zachary  fisk;f. c. chou
g. w. weimann;jörg p. kotthaus
w. c. lee;david a. huse
rudolf  zeller;lászló  szunyogh
heinz  kalt;j. l. merz
franco  jona;paul m. marcus
jacek k. furdyna;mark w. coffey
didier  poilblanc;douglas j. scalapino
marcin  konczykowski;john r. clem
alois a. menovsky;bohdan  andraka
ole k. andersen;olle  gunnarsson
p. l. gammel;w. c. lee
hiroshi  eisaki;robert j. cava
david c. johnston;d. k. finnemore
f. g. bridges;eric d. bauer
jagdeep  shah;john e. sipe
s  w. cheong;j. m. lawrence
david k. ferry;otto f. sankey
robert n. shelton;thomas  timusk
jeffrey w. lynn;robert j. cava
peter  weinberger;lászló  szunyogh
joan  adler;alex  zunger
miles v. klein;c. p. flynn
peter  weinberger;václav  drchal
peter h. kes;lev n. bulaevskii
boyd w. veal;s. lance cooper
paul c. canfield;a. h. lacerda
thomas  timusk;s. lance cooper
jorge e. hirsch;frank  marsiglio
y. g. ma;j. h. guo
isao  tanaka;gen  shirane
s. i. uchida;hiroshi  eisaki
bo¨rje  johansson;hans l. skriver
pierre  lefebvre;stephan  glutsch
manfred  fähnle;k. m. ho
patrick a. lee;x. g. wen
j. j. harris;john  singleton
jack m. williams;boyd w. veal
y. c. chang;nitin  samarth
andreas  waag;p. s. thomas
zachary  fisk;m. brian maple
j. l. peng;m. brian maple
brian  fluegel;stephan w. koch
j. l. merz;bo  monemar
carlos  rettori;saul b. oseroff
robin j. nicholas;gustaaf  borghs
u. w. welp;george w. crabtree
g.  margaritondo;m.  marsi
paolo  lugli;elisa  molinari
louis  schlapbach;jürg  osterwalder
d. l. lin;x. m. sun
lászló  szunyogh;václav  drchal
p. c. main;mohamed  henini
giyuu  kido;gerrit w. bauer
c. w. chu;f. g. bridges
jeffrey w. lynn;paul c. canfield
k. j. chang;jeffrey w. lynn
richard l. greene;doon  gibbs
noboru  miura;kunimitsu  uchinokura
k. e. miyano;david l. ederer
s. c. ying;enzo  granato
holger t. grahn;klaus h. ploog
c. t. foxon;j. j. harris
c. t. chan;m. m. sigalas
george h. kwei;paul c. canfield
mildred s. dresselhaus;y. x. wang
paul c. canfield;zachary  fisk
elbio r. dagotto;josé a. riera
p. s. thomas;andreas  waag
luis  brey;juan josé palacios
g. h. li;roberto  cingolani
gustaaf  borghs;j. j. harris
peter  wachter;michael  schreiber
otto f. sankey;john b. page
j. e. crow;u. w. welp
valerii m. vinokur;george w. crabtree
john b. page;otto f. sankey
olle  gunnarsson;jörg  fink
stephan  glutsch;henry  mathieu
richard l. greene;james d. jorgensen
boris i. ivlev;lev n. bulaevskii
leonard  kleinman;d. m. bylander
c.  stassis;antoni  planes
stephan w. koch;brian  fluegel
o. e. eriksson;hans l. skriver
george h. kwei;james d. jorgensen
jan  zaanen;alexander i. liechtenstein
yoshinobu  aoyagi;david k. ferry
igor i. mazin;manuel  cardona
alain  fontaine;gérard  krill
g. r. stewart;bohdan  andraka
j. h. guo;janusz  kanski
enrique  louis;juan josé palacios
roberto  cingolani;alfonso  franciosi
robert j. gooding;david c. johnston
p.  hautojärvi;k.  saarinen
mucio a. continentino;raimundo r. dos santos
alfred  forchel;thomas l. reinecke
bohdan  andraka;m. brian maple
robert j. birgeneau;isao  tanaka
armando a. aligia;c. a. balseiro
yoshihiro  iwasa;yoshinori  tokura
j. d. thompson;c. y. chen
