a. z. schwarzschild;james b. cumming
charles j. gallagher;f.  boehm
robert e. marshak;e. g. sudarshan
t. h. kruse;leon j. lidofsky
e. a. taft;hekrert r. philipp
d. a. bromley;e.  almqvist
george  salzman;howard j. schnitzer
sam  legvold;samuel h. liu
martin  peter;laurence r. walker
martin m. block;aihud  pevsner
fred l. ribe;darragh e. nagle
samuel h. liu;sam  legvold
w. j. choyke;donald r. hamilton
victor  perez-mendez;robert w. kenney
norman  elliott;julius m. hastings
sam  legvold;frank h. spedding
willy  haeberli;harold w. lewis
r. l. cool;james w. cronin
charles  kittel;a. m. portis
sulamith  goldhaber;gerson  goldhaber
d. h. wilkinson;david e. alburger
laurence r. walker;vincent  jaccarino
albert m. clogston;martin  peter
geoffrey f. chew;h. pierre noyes
francis e. low;geoffrey f. chew
g.  breit;m. l. rustgi
samuel w. macdowell;david y. wong
f. k. mcgowan;w. g. smith
laura m. roth;benjamin  lax
henry l. kraybill;jack  sandweiss
morrel h. cohen;h.  ehrenreich
hans o. cohn;aihud  pevsner
william a. nierenberg;edgar  lipworth
a. z. schwarzschild;shimon  ofer
paul r. fields;albert  ghiorso
norbert t. porile;james b. cumming
susumu  okubo;robert e. marshak
harold k. ticho;frank s. crawford
m. l. rustgi;g.  breit
r. b. murray;h. w. schmitt
yakir  aharonov;david  bohm
frances m. smith;walter h. barkas
michael j. moravcsik;malcolm h. macgregor
james b. cumming;norbert t. porile
j. w. starner;m. e. bunker
leroy t. kerth;james w. cronin
myron l. good;m. lynn stevenson
f. k. mcgowan;p. h. stelson
roy m. thaler;john l. gammel
donald r. yennie;leslie l. foldy
brend t. matthias;harry  suhl
sherman  frankel;john  halpern
p. h. stelson;f.  ajzenberg-selove
marvin h. mittleman;kenneth m. watson
p. h. stelson;f. k. mcgowan
robert l. mills;andrew m. sessler
aihud  pevsner;jack  leitner
frank h. spedding;sam  legvold
richard r. chasman;john o. rasmussen
chen ning yang;t. d. lee
lester m. corliss;norman  elliott
george allen baker;charles e. porter
c. k. iddings;p. m. platzman
a. e. litherland;e.  almqvist
david a. kleinman;william g. spitzer
leon j. lidofsky;t. h. kruse
g.  breit;wolfgang  zernik
i.  perlman;stanley g. thompson
lawrence l. marino;wesley b. ewbank
keith a. brueckner;ralph d. amado
masao  sugawara;susumu  okubo
v. k. rasmussen;charles p. swann
stanley g. thompson;paul r. fields
harold k. ticho;myron l. good
herbert  rabin;clifford c. klick
richard  marrus;edgar  lipworth
h. pierre noyes;geoffrey f. chew
george e. owen;leon  madansky
j. w. cable;m. k. wilkinson
robert e. marshak;susumu  okubo
marvin l. goldberger;s. b. treiman
gerald  feinberg;r. e. behrends
john o. rasmussen;stanley g. thompson
david y. wong;samuel w. macdowell
william d. walker;myron l. good
p. m. platzman;c. k. iddings
henry b. silsbee;lawrence l. marino
e.  almqvist;a. e. litherland
stanley  bashkin;r. r. carlson
myron l. good;william d. walker
arthur j. freeman;richard e. watson
a. e. glassgold;kenneth m. watson
clyde e. wiegand;wilson m. powell
w. g. smith;j. h. hamilton
w. c. koehler;j. w. cable
ernest  corenzwit;harry  suhl
