l. g. olsson;ulf  dahlborg
w. a. fisher;r. r. parker
w.  hürlimann;b.  styczen
karl  lohmer;wolfgang  neuwirth
a.  rüetschi;m.  boschung
f.  gasser;c. dal cappello
robert j. birgeneau;j. d. litster
bernd  crasemann;kh rezaul karim
giuseppe  compagno;j. s. peng
d.  girard;richard d. deslattes
mark h. phillips;j. e. gastineau
andré  mysyrowicz;lloyd l. chase
lee a. collins;n. t. padial
paul  faucher;s.  von goeler
m. d. hasinoff;b. c. robertson
martin  salomon;h. w. roser
j. william doane;giuseppe  chidichimo
m.  davidovič;ulf  dahlborg
yves  pomeau;stéphane  zaleski
k. a. aniol;a.  bagheri
marlan o. scully;wolfgang p. schleich
w. e. wilson;h. g. paretzke
k. a. smith;r. f. stebbings
sheldon  datz;m.  suter
b. l. jhanwar;s. p. khare
cleanthes a. nicolaides;e.  adamides
carl w. garland;m.  meichle
guy  stephan;manfred  trümper
c. jake waddington;phyllis s. freier
e. b. saloman;g.  mehlman
j.  pȩkalska;jacek m. kowalski
guillaume  petite;p. a. agostini
cyrus r. safinya;carl w. garland
timothy  mclaughlin;joseph l. katz
j. d. molitoris;j. f. chemin
randall j. mikula;david m. garner
w.  oelert;g.  gaul
t.  pignataro;jack b. swift
t. n. chang;young soon kim
hyatt m. gibbs;r. l. shoemaker
j. l. flinner;l.  oolman
g.  trollmann;hans d. betz
f. t. chan;jörg m. eichler
h. f. wellenstein;c. dal cappello
d. c. gregory;c. j. david lin
w.  lourens;f.  bergsma
fritz  ehlotzky;jános a. bergou
tad  hogg;bernardo a. huberman
k. gundu rao;h.  sanjeeviah
s.  lakdawala;d.  frye
h.  daniel;e.  köhler
yannis  komninos;george  aspromallis
d.  powers;h. g. olson
j.  witt;reinhard  schinke
o.  savin;i.  cuculescu
charles r. vane;sheldon  datz
e.  uggerhøj;h. e. schiøtt
ronald s. pindak;john w. goodby
r. d. mathews;allen r. slaughter
j. p. chabrat;sidney  yip
a.  van wijngaarden;j.  patel
c.  higgs;m. p. slusher
h. e. schiøtt;j. f. bak
j.  zmeskal;w. h. bertl
b.  sayer;p. r. fournier
toshihiro  iwai;masahiro  kimura
h. w. roser;c. j. virtue
yukikazu  itikawa;hiroki  nakamura
