a.  huetz;d.  vichon
larry d. gardner;y. z. gulkok
kingsley w. jones;james m. hall
william e. sharp;yu kwon kim
c. robert wu;william c. stwalley
thomas  hoffmann-ostenhof;reinhart  ahlrichs
f.  gounand;k. a. safinya
h.  neumann;robert c. amme
levere c. hostler;wayne w. repko
john i. brauman;bruce k. janousek
g. c. ball;p. h. mokler
michael m. burns;d. d. hinshelwood
r. a. kenefick;a.  langenberg
bjarne  andresen;s.  huldt
pat  sofinski;harry l. frisch
j.  pinard;p. l. pillet
vernon w. hughes;p. a. thompson
s.  röhl;w. a. schönfeldt
r. h. schuch;h.  schmidt-böcking
santos f. alvarado;john c. fuggle
george  rosensteel;a. g. ryman
lee a. collins;w. derek robb
william e. cooke;k. a. safinya
sigfrid  strässler;h. r. zeller
j.  bernasconi;sigfrid  strässler
jerry l. peacher;j. m. george
p.  schorn;j.  kising
barry g. adams;peter  otto
r. r. alfano;milivoj  belic
john t. ho;n. r. chen
j. j. benattar;a. j. leadbetter
john w. cooper;keith  burnett
salvatore  iannotta;giacinto  scoles
theodor w. hänsch;carl e. wieman
r. s. schneider;e. h. da jornada
h. p. garnir;r.  deserio
richard m. schectman;william d. ruden
r. f. stebbings;g. b. mcmillian
n. g. adams;darryl lyle smith
ring ling  chien;john c. hansen
r. h. pratt;siddheswar  chaudhuri
andrew g. de rocco;ellen d. yorke
s. k. arora;b. s. sood
richard a. ferrell;jan v. sengers
margaret d. reid;kenneth j. mcneil
alfred s. schlachter;j. warren stearns
t. h. jeys;g. b. mcmillian
edwin a. power;t.  thirunamachandran
shimon  vega;t. w. shattuck
t. p. das;mina  vajed-samii
robert d. cowan;m.  bitter
m. h. salamon;g.  tarle
p. p. ho;p. y. lu
harold j. metcalf;david  lieberman
james h. mcguire;e.  redd
s. k. sur;shyamal  datta
salvatore  solimeno;paolo  di porto
jon alan wright;michael  wortis
d. c. gregory;patrick  richard
arlee v. smith;david e. nitz
robin  shakeshaft;larry  spruch
tarsem  singh;mahendra singh sodha
wolfgang  neuwirth;ronald  kreutz
jean pierre briand;a.  touati
c. h. sohl;george l. wong
frank c. sanders;robert e. knight
wolfgang  meckbach;c. r. garibotti
w. h. flygare;l. w. buxton
ryoko  tsujinishi;noriaki  tsukada
j. n. leboeuf;charles f. kennel
v.  seshadri;bruce j. west
christian  delsart;j. c. keller
thomas w. mossberg;s. r. hartmann
d. a. lubowich;o.  theimer
a. ganesh vaidyanathan;daniel  kleppner
leon  gunther;joseph  lajzerowicz
shinya  kasai;c. h. ma
s. f. howes;t. a. osborn
y.  poggi;bernard  malraison
n. b. mcnelis;igor m. tkachenko
j. p. apruzese;k. g. whitney
p. e. cladis;d.  aadsen
chindhu s. warke;a. s. ramachandran
ray e. kidder;robert j. harrach
robert r. lucchese;vincent  mckoy
walter i. goldburg;mahn won kim
p. a. thompson;g. zu putlitz
h.  egger;h.  pummer
charlotte froese fischer;jørgen e. hansen
shin  ito;sakae  shimizu
david  mehaffy;frederick a. grimm
matt d. brown;david j. land
h. j. kunze;g.  bertschinger
d. m. blankenship;t. j. kvale
t. a. litovitz;d.  varshneya
a. anil kumar;maryna  d'souza
akio  tsuji;takeshi  ishihara
ph.  deschepper;p.  pellegrin
r. l. graham;h. j. scholz
nelson  studart;oscar  hipólito
j.  osmundsen;t. a. detemple
robert w. dunford;robert r. lewis
donald g. truhlar;bruce c. garrett
robert  yaris;m.  palmquist
daniel c. lu;g. zu putlitz
robert a. naumann;g. l. schmidt
sebastian  doniach;frank w. kutzler
james d. hanson;j. l. dehmer
b.  renier;y.  baudinet-robinet
s. h. chang;michael  wortis
yoshinobu  izumi;ryusuke  kono
a. g. de pinho;a. g. nader
m. d. wright;s. e. harris
filip r. vukajlović;m. s. kaschiev
h. w. reist;h.  orth
p. f. liao;j. e. bjorkholm
l. wilmer anderson;chun c. lin
marcel  ausloos;andrzej  pȩkalski
c.  ranganathaiah;b.  sanjeevaiah
calogero renzo natoli;frank w. kutzler
j.  pinard;s.  liberman
j.  vetter;a. b. denison
r. k. rice;j. l. duggan
steven w. haan;c. s. hsu
h.  scheingraber;h.  puell
eric d. siggia;a. s. tremblay
r. h. storz;richard r. freeman
j.  pinard;hong tuan duong
malvin h. kalos;itzhak  webman
j. j. dupin;gilbert  albinet
bernd  crasemann;mau hsiung chen
edward j. shipsey;thomas a. green
j. h. jacob;d.  klimek
r. j. powers;h. e. henrikson
f.  löffler;w.  schmidt
d. e. murnick;michael m. burns
c.  peugnet;ph.  gouard
joseph h. macek;robin  shakeshaft
olavi  keski-rahkonen;teijo  Åberg
jan v. sengers;p.  esfandiari
h. k. chung;s. j. petuchowski
p. l. altick;peter  winkler
h.  orth;h. w. reist
m. k. mehta;i. sundara rao
benjamin  lax;h. q. le
tomoya  akiba;noriaki  tsukada
s.  liberman;j.  pinard
g. d. alton;c. m. jones
jayanta k. bhattacharjee;richard a. ferrell
t.  noreland;carl  nordling
yoshishige  suzuki;sadao  nakai
mina  vajed-samii;t. p. das
john s. risley;w. b. westerveld
a. w. mckellar;john  reid
p. v. grujić;vojislav  radojević
w.  zakowicz;r. h. pratt
m.  kovacs;a.  mandl
d. h. crandall;fred w. meyer
frank t. avignone;zbigniew w. grabowski
j. p. chabrat;sow hsin chen
d.  dillenburg;b.  liberman
alan a. hahn;e.  bovet
john d. allen;david  mehaffy
massimo  mazzoni;gian paolo tozzi
j  f. delpech;thomas f. gallagher
michael m. kash;michael g. littman
r. j. fortner;h. c. werner
andrzej  pȩkalski;marcel  ausloos
gerhard  adam;josip  seke
masayuki  oyamada;a.  kuwako
d.  eames;k. w. hill
koji  noda;hideyuki  inouye
i. v. mitchell;g. c. ball
m. r. gunye;suresh v. lawande
k.  arnett;v. c. sutcliffe
hans  mark;kh rezaul karim
s.  salih;d. w. duquette
t. dean gaily;richard a. holt
mario  bertolotti;concita  sibilia
richard r. freeman;d. b. pearson
daniel j. kligler;jeffrey  bokor
phillip  sprangle;e. h. da jornada
n. v. udeh;j. j. chmielewski
william p. spencer;a. ganesh vaidyanathan
p.  lukac;e.  alge
m.  sebata;keizo  ishii
john w. farley;william h. wing
c. r. garibotti;i. b. nemirovsky
e.  bovet;a. r. kunselman
a. e. siegman;shinan chur  sheng
d.  dillenburg;e. h. da jornada
walter  greiner;gerhard  soff
s.  bliman;s.  dousson
kenneth b. mcafee;d. j. mcclure
m.  hamada;y.  inada
j. warren stearns;p. j. schneider
d.  chmielewska;z.  sujkowski
d.  aadsen;william b. daniels
k. c. pandey;j. a. armstrong
hitoshi  nishimura;chiyoe  yamanaka
alain  denis;jean  désesquelles
jochen  schirmer;lorenz s. cederbaum
hans c. andersen;james l. skinner
s. l. verma;b. s. sood
dan  dill;j.  welch
richard p. leavitt;donald e. wortman
harold j. metcalf;frederick  raab
s.  huldt;j. o. ekberg
ennio  arimondo;arturo  bambini
franz  howorka;p.  lukac
david  lieberman;thomas h. bergeman
h.  daniel;t.  von egidy
einar  hinnov;szymon  suckewer
j. l. staudenmann;albert w. overhauser
c. m. jones;charles d. moak
peter e. toschek;ph.  cahuzac
matthew s. lucas;charles d. moak
r.  hallin;carl  nordling
d. a. kranz;john c. huang
george w. parker;j. d. memory
j.  feugeas;w.  prior
hong tuan duong;gerhard  huber
m.  druetta;x.  husson
c. j. david lin;p. j. martin
a. r. plastino;gonzalo  gutiérrez
l. b. bridwell;matt d. brown
chris h. greene;charles w. clark
r. h. pratt;akiva  ron
wolfgang  weidlich;hermann  grabert
daryl a. douthat;mitio  inokuti
e.  redd;john t. park
g.  saemann-ischenko;w.  schmidt
nelson  cue;n. castro faria
donal j. burns;r.  deserio
richard m. schectman;t. j. gay
j. p. grandin;j. p. buchet
tadayoshi  doke;akira  hitachi
j. a. dagata;j. p. connerade
p. e. cladis;p. l. finn
gernot  alber;peter  zoller
a. m. levelut;r. j. tarento
h.  en'yo;toshimitsu  yamazaki
gilbert  albinet;a. g. bois
oscar  hipólito;nelson  studart
bill  moran;wm. g. hoover
david j. pegg;james e. bayfield
gian paolo tozzi;alberto m. cantù
n. v. de castro faria;c. barros leite
cüneyt  can;e. b. justiniano
gilles  sigaud;f.  hardouin
edith c. goldberg;victor hugo ponce
david r. nelson;ricardo  ruiz
karl  lohmer;ralph  krotz
a.  lesage;myron h. miller
g. b. mcmillian;r. f. stebbings
c. h. volk;t. m. kwon
a. eugene livingston;robert l. brooks
rolf  landauer;markus  büttiker
padma kant shukla;m. y. yu
reinhart  ahlrichs;thomas  hoffmann-ostenhof
r. v. ribas;e. m. szanto
r.  gann;david g. stroud
p.  loftager;flemming  besenbacher
toshinobu  takayanagi;h. s. suzuki
james w. taylor;paul r. keller
paul r. keller;john d. allen
chiyoe  yamanaka;y.  sakagami
thomas h. bergeman;harold j. metcalf
david l. dexter;theodore g. castner
d.  ridders;r. j. fortner
john d. allen;manfred o. krause
juhani  väyrynen;seppo  aksela
j. s. lin;p. e. chumbley
sunil k. sinha;r. p. sharma
m.  hamada;f.  matsuoka
s. k. sur;n. c. sil
s. k. arora;k. l. allawadhi
nils  elander;e. j. brändas
jan  erkku;richard w. bader
j. a. edighoffer;m. a. piestrup
kang l. wang;petr  vogel
reinhard  bruch;w.  butscher
peter  winkler;m.  palmquist
dinh  ton-that;mina  vajed-samii
n. r. sauthoff;e. g. silver
i.  Čadež;j.  mazeau
ting shan luk;mark  feldman
y. c. chou;a. anil kumar
g.  bertschinger;r.  buchwald
hiroo  totsuji;hideyuki  kakeya
m.  ashour-abdalla;toshiki  tajima
p.  ziem;n.  stolterfoht
lee a. collins;barry i. schneider
r.  deserio;t. j. gay
fred w. meyer;r. a. phaneuf
s. r. hartmann;ravinder  kachru
m. suhail zubairy;rajarshi  roy
d.  leep;r. aaron falk
j. m. alvarez;e.  bernabeu
r.  mayo;j. a. stone
g. l. schmidt;e.  asseo
k. prasad rao;n. c. mohapatra
demetri j. photinos;mary e. neubert
roberto  colella;j. l. staudenmann
hideyuki  kakeya;hiroo  totsuji
g. zu putlitz;a. b. denison
p. l. pillet;robert  klapisch
robert  klapisch;s.  büttgenbach
k.  arnett;p. j. martin
e.  redd;james h. mcguire
roberto  colella;albert w. overhauser
nicim  zagury;humberto s. brandi
donald j. harter;michael g. raymer
james ray peterson;r. v. hodges
gerald  feinberg;joseph  sucher
d.  ridders;h. c. werner
shyamal  datta;s. k. sur
james e. bayfield;d. h. crandall
hong tuan duong;m.  de saint-simon
daniel c. lu;f. g. mariam
md.  salimullah;r. r. sharma
m. h. key;richard w. lee
leonard m. goldman;sanwal p. sarraf
emile j. knystautas;w. l. wiese
rené  pellat;d.  le queau
frank  weinhold;phillip r. certain
p. l. pillet;s.  büttgenbach
joseph  lajzerowicz;leon  gunther
simon s. yu;donald m. cox
j. p. buchet;m.  druetta
eric d. siggia;annette  zippelius
daryl a. douthat;a. p. rau
takeshi  ishihara;junya  mizuno
t. a. detemple;s. j. petuchowski
n. w. carlson;antoinette j. taylor
aneesur  rahman;c. s. hsu
isaac  goldhirsch;itamar  procaccia
lee a. collins;michael a morrison
ali a. antar;matt d. brown
pierre  meystre;luigi a. lugiato
g.  saemann-ischenko;p. f. müller
roland  lefebvre;osman  atabek
david j. rowe;george  rosensteel
kenneth j. lagattuta;yukap  hahn
sunanda  guha;n. c. sil
james d. hanson;mitio  inokuti
r. c. isler;e. a. lazarus
grzegorz  lapicki;arlen r. zander
a.  kuwako;a.  yamadera
d. d. little;a. anil kumar
z. r. iwinski;young soon kim
fred l. roesler;d. h. tracy
r. j. tarento;gilles  sigaud
tarsem  singh;r. p. sharma
mietek  lisak;d. p. anderson
e.  marié;o.  vallée
ronald  kreutz;karl  lohmer
a. g. adam;richard a. holt
r. c. isler;mitsuko  murakami
a. k. bhatia;sidney o. kastner
g. f. hildebrandt;c.  higgs
a. b. denison;f. g. mariam
t. s. stein;j. h. smart
donald s. gemmell;r.  kutina
p. o. egan;g. zu putlitz
joseph f. capitani;steven m. valone
ph.  cahuzac;c.  brechignac
n.  chan-tung;d.  van houtte
h. i. yoo;f. t. hioe
jong h. choi;mineo  kimura
robert l. brooks;a. eugene livingston
j. j. sanchez-mondragon;joseph h. eberly
rodney j. bartlett;george d. purvis
s.  liberman;hong tuan duong
carl  nordling;e.  alvarez
r.  hallin;a.  arnesen
toshinori  wada;gordon r. freeman
d. o. heddle;george e. chamberlain
h. u. rahman;padma kant shukla
matt d. brown;g. d. alton
s. c. mukherjee;kanika  roy
e.  redd;d. m. blankenship
g. h. both;ralph  krotz
d. w. dolfi;erwin l. hahn
petr  vogel;j. p. miller
bartley l. cardon;henn  oona
r. k. janev;a. a. mihajlov
awadh n. tripathi;swaraj s. tayal
ulrich  heinz;walter  greiner
r.  deserio;h. p. garnir
n.  stolterfoht;d. h. schneider
h.  ramler;e.  alge
robert w. boyd;michael g. raymer
peter p. crooker;w. g. laidlaw
jürgen  bosse;toyonori  munakata
h.  villinger;s. e. kuhn
yves  gontier;michel  trahin
william b. daniels;d.  guillon
h. a. hyman;c.  duzy
c. m. jones;l. b. bridwell
p. j. schneider;w. g. graham
h.  minoo;claude  deutsch
gerhard  huber;s.  liberman
p. h. kleban;l. d. schmidt
s. l. lin;larry a. viehland
arturo  bambini;paul r. berman
r. dominguez tenreiro;horacio d. sivak
s. r. ryan;willis e. lamb
s. y. tang;roy h. neynaber
robert j. ballagh;keith  burnett
james a. schiavone;robert s. freund
anthony c. ladd;richard m. more
d. h. schneider;kennedy j. reed
wim  hogervorst;k. h. van leeuwen
j. f. chemin;per a. amundsen
f.  boehm;alan a. hahn
n. tran minh;e.  marié
t. h. jeys;f. g. kellert
j.  remillieux;m. j. gaillard
b. e. campbell;r. e. schwerzel
t. e. jackman;w. n. lennard
h.  azechi;y.  inada
wayne d. kimura;d. y. wang
helmut  büttner;f.  mokross
e.  bovet;r. j. powers
rajendra p. gupta;l. k. lam
j. n. das;b.  patra
w.  prior;j.  feugeas
keith  burnett;john w. cooper
r.  schieder;r.  guccione-gush
roland  gähler;a. g. klein
robert r. lewis;robert w. dunford
andris t. stelbovics;bidhan c. saha
stanisław  kielich;vitaly d. ovsiannikov
s. m. morita;m.  sebata
g.  gaukler;kingsley w. jones
lee a. collins;michael a. morrison
ph.  gouard;a.  devin
s. j. petuchowski;h. k. chung
françois  grimaldi;annette  lecourt
r. h. schuch;kingsley w. jones
j. p. apruzese;j. l. davis
g.  tarle;k. c. crebbin
boël  denne;h.  dickow
robert b. meyer;noel a. clark
matt d. brown;james g. brennan
shalom  eliezer;arie  zigler
p. t. leung;m. l. rustgi
d.  brinkmann;daniel d. kuhn
seppo  aksela;maritta  kellokumpu
h.  harde;wulfhard  lange
mau hsuing chen;hans  mark
charles c. wang;d. k. killinger
h. gordon berry;ralph d. hight
robert  klapisch;p.  jacquinot
john f. seely;r. c. elton
alex  zunger;edward r. mcmullen
hitoshi  nishimura;sadao  nakai
savo  bratos;bertrand  guillot
richard w. lee;m. h. key
j. f. chemin;ch.  stoller
ravinder  kachru;e. a. whittaker
w.  lindinger;franz  howorka
j. warren stearns;k. r. stalder
p.  jacquinot;j. l. vialle
j. l. barrett;j. j. leventhal
j. a. tanis;w. g. graham
h.  villinger;w.  lindinger
luigi a. lugiato;pierre  meystre
h.  endo;kuniko  maeda
j. o. ekberg;s.  huldt
p. h. edmonds;l. e. murray
philip a. heimann;i. a. greenwood
pierre  chevallier;annie  chetioui
j. m. george;e.  redd
jose d. garcia;h. c. werner
joseph  delhalle;danko  antolović
k. f. huang;anthony f. starace
john g. zabolitzky;eckhard  krotscheck
william  happer;avinash c. sharma
r. j. tarento;f.  hardouin
john s. risley;j.  fryar
alain  denis;j.  désequelles
d. n. tripathy;u. c. satapathy
masayuki  oyamada;s. m. morita
michael g. raymer;donald j. harter
cleanthes a. nicolaides;george  aspromallis
teijo  Åberg;k.  reinikainen
setsuo  ichimaru;naoki  itoh
r. a. phaneuf;fred w. meyer
t. s. ho;kazem  omidvar
klaus h. berkner;j. warren stearns
masao  kitano;tsutomu  yabuzaki
l. e. murray;c. h. ma
g.  laplanche;a.  declémy
david w. norcross;david g. hummer
serge  haroche;philippe  goy
frank s. tomkins;raymond j. fonck
ralph d. hight;t. j. gay
m.  sebata;t. c. chu
a. s. ramachandran;v. l. narasimham
k.  arnett;jerry l. peacher
prasanta kumar mukherjee;g. n. bhattacharya
john p. perdew;edward r. mcmullen
l. k. lam;s. n. jabr
k. r. stalder;alfred s. schlachter
p.  loftager;wolfhard  möller
m.  kovacs;d.  klimek
d. h. crandall;ivan a. sellin
j. c. browne;thomas a. green
keith b. macadam;david a. crosby
h. p. garnir;b.  renier
n.  stolterfoht;h. c. werner
h.  daniel;f. j. hartmann
robert v. pyle;k. r. stalder
francois j. wuilleumier;p.  dhez
f.  touchard;p.  juncar
yasuhiro  miyake;yoshinobu  izumi
r. l. carman;charles k. rhodes
charles w. clark;chris h. greene
sakae  shimizu;ken ichi  kubota
joseph h. eberly;alex  szabo
p. t. leung;james e. turner
michel  trahin;yves  gontier
k.  wakiya;toshinobu  takayanagi
mario  gronchi;vincenzo g. benza
philip j. bos;demetri j. photinos
ennio  arimondo;stig  stenholm
j. a. tanis;s. m. shafroth
j. l. le gouët;paul r. berman
m. m. duncan;m. g. menendez
r. i. hall;d.  vichon
t.  andersen;e.  horsdal-pedersen
sandor  trajmar;santosh k. srivastava
t.  mikumo;kunihiro  shima
michael s. methfessel;johann  fischer
benjamin  bederson;r.  dang
j.  pinard;gerhard  huber
c. m. tang;wallace m. manheimer
werner  brandt;grzegorz  lapicki
k.  inglis;r.  kutina
akira  yagishita;toshinobu  takayanagi
john  weiner;j  c. gauthier
h. p. garnir;n.  schaffel
p. h. sandars;edward a. hinds
ralph s. janda;george h. gillespie
hugh e. dewitt;gary d. doolen
darryl d. coon;jayanth r. banavar
richard r. freeman;j. e. bjorkholm
junya  mizuno;tsutomu  watanabe
larry d. gardner;david j. pegg
r. e. schlier;c. s. chang
g. l. ogram;r. m. hobson
jerry l. peacher;d. m. blankenship
h. p. garnir;donal j. burns
ryoko  tsujinishi;kazunaru  tomishima
robert f. benjamin;r. l. carman
wayne a. seale;e. m. szanto
s.  marchetti;davide  bassi
mario  gronchi;pierre  meystre
fernando  parente;gene e. ice
b.  suleman;natarajan d. bhaskar
j.  her;b. b. rao
c.  thibault;j.  pinard
thomas a. carlson;manfred o. krause
s.  dhawan;p. o. egan
michel  tavernier;a.  touati
v. a. molchanov;e. s. mashkova
quentin c. kessel;matt d. brown
c.  kubach;victor  sidis
john  keller;n.  bras
james g. brennan;matt d. brown
brad lee holian;david w. mclaughlin
jochen  schirmer;wolfgang  domcke
michael a. johnson;michael c. rushford
w. w. quivers;john e. thomas
j. j. chmielewski;fred w. inman
j. p. buchet;alain  denis
t. j. gay;ralph d. hight
tom j. gray;c. j. david lin
j.  berkowitz;c. h. batson
h.  ramler;p.  lukac
david g. stroud;r.  gann
wolfgang  neuwirth;karl  lohmer
j.  pinard;p.  juncar
j.  wijnhorst;c. e. van eijk
robert r. lucchese;kazuo  takatsuka
szymon  suckewer;d. e. post
m.  kamiya;s. m. morita
itamar  procaccia;david m. ronis
gordon r. freeman;norman  gee
ralph  krotz;karl  lohmer
d.  le queau;rené  pellat
frank t. avignone;ali e. khalil
mina  vajed-samii;johannes  andriessen
anthony c. ladd;william g. hoover
balazs f. rozsnyai;j. l. davis
ralph d. hight;h. p. garnir
m. aslam baig;j. p. connerade
h. von känel;john  melngailis
p. a. souder;a. b. denison
paul w. schmidt;harold d. bale
j.  mazeau;f.  gresteau
k. f. huang;walter r. johnson
paul r. berman;j. e. bjorkholm
juan c. gallardo;luis r. elias
d.  dhuicq;j.  pommier
michael s. feld;p. g. pappas
f.  hardouin;a. m. levelut
lazar  friedland;ira b. bernstein
edward p. lee;s. c. chung
m.  schlesinger;r. d. kent
peter e. toschek;hans g. dehmelt
gerhard  huber;c.  thibault
pierre  meystre;murray  sargent
a. k. edwards;r.  kutina
william d. ruden;richard m. schectman
m. l. rustgi;p. t. leung
david g. hummer;anil k. pradhan
harry e. moses;p. b. abraham
sow hsin chen;j.  rouch
f.  matsuoka;m.  hamada
yves  guissani;savo  bratos
j.  vetter;g. zu putlitz
terry a. miller;h. q. le
siddheswar  chaudhuri;oscar v. gabriel
stephen j. smith;david e. nitz
stephen j. goett;douglas h. sampson
d. m. blankenship;james h. mcguire
m.  lieber;d.  umberger
h.  burggraf;h.  harde
russell a. hulse;szymon  suckewer
f. j. pichanick;edward a. hinds
t. m. kwon;j. g. mark
m.  de saint-simon;f.  touchard
m.  le dourneuf;k. t. cheng
herbert  störi;franz  howorka
h. von känel;henry i. smith
swaraj s. tayal;m. k. srivastava
w. n. lennard;i. v. mitchell
david e. nitz;arlee v. smith
j. l. davis;balazs f. rozsnyai
harris j. silverstone;evans m. harrell
duncan g. steel;r. c. lind
d. c. gregory;brant m. johnson
bernd  crasemann;george s. brown
gabor j. kalman;pradip m. bakshi
randy b. christensen;william d. watson
a.  arnesen;t.  noreland
ara  chutjian;hiroyuki m. tanaka
jens  fricke;h. u. kiefl
roland  gähler;anton  zeilinger
james h. mcguire;d. m. blankenship
p.  malinowski;marek  polasik
zeev  vager;p. j. cooney
h. k. chung;t. a. detemple
chun c. lin;thomas k. holley
james e. turner;p. t. leung
william d. phillips;david e. pritchard
r. r. sharma;md.  salimullah
ronald  geballe;d.  leep
hong tuan duong;s.  liberman
e. j. brändas;nils  elander
lorenzo m. narducci;jian min yuan
s. d. rosner;t. dean gaily
rémi  hakim;r. dominguez tenreiro
kingsley w. jones;tom j. gray
warren  ong;b. r. tambe
a. g. bois;gilbert  albinet
k. d. sen;peter c. schmidt
a.  rachman;michel  jaouen
peter  zoller;c. v. kunasz
john s. risley;anna i. mcpherson
wolfhard  möller;h. h. andersen
manfred a. biondi;rainer  johnsen
hitoshi  nishimura;yoshishige  suzuki
j. f. chemin;robert  anholt
h.  neumann;h. l. rothwell
s.  yeh;paul r. berman
t. c. chu;m.  kamiya
quentin c. kessel;c. m. jones
ralph  krotz;g. h. both
harold j. metcalf;ting shan luk
eric d. siggia;masao  arai
robert  klapisch;s.  liberman
h. u. kiefl;walter l. borst
john b. ketterson;c. h. sohl
steven l. carter;hugh p. kelly
t.  andersen;u.  nielsen
john t. park;d. m. blankenship
sunanda  guha;a. s. ghosh
k.  hamano;nobuhiro  kuwahara
p. a. thompson;f. g. mariam
j. s. lin;meera  chandrasekhar
f.  touchard;robert  klapisch
f.  matsuoka;h.  azechi
g.  gaukler;r. h. schuch
h. k. tseng;i. j. feng
l. d. schmidt;h. ted davis
toshimitsu  yamazaki;t.  numao
pat  sofinski;barry d. krawchuk
d. c. gregory;tom j. gray
daniel d. dietrich;richard  marrus
john m. dawson;m.  ashour-abdalla
p. l. pillet;gerhard  huber
c. j. david lin;e.  redd
d. e. rio;alex s. green
wayne a. seale;r. v. ribas
david j. rowe;a. g. ryman
jeffrey  bokor;h.  pummer
kazunaru  tomishima;takashi  nakayama
paul c. kepple;dwight  duston
s. d. druger;david l. dexter
kunihiro  shima;t.  mikumo
thomas f. gallagher;wolfgang  sandner
gene e. ice;bernd  crasemann
d. n. tripathy;b. k. rao
ralph  krotz;ronald  kreutz
j. warren stearns;w. g. graham
richard  marrus;john a. leavitt
luigi a. lugiato;murray  sargent
joel l. lebowitz;itzhak  webman
s.  bliman;j.  aubert
fred w. inman;j. l. flinner
r. stephen berry;john a. duncanson
d.  roekaerts;f.  langouche
padma kant shukla;h. u. rahman
c.  ranganathaiah;ramakrishna  gowda
b. k. van zyl;gordon h. dunn
sow hsin chen;l.  letamendia
john g. hartley;john r. ray
n.  schaffel;t. j. gay
kang l. wang;f.  boehm
m. d. wright;jeff f. young
john  weiner;n.  bras
thomas k. holley;edward p. lee
f. b. dunning;f. g. kellert
kunihiro  shima;k.  umetani
kanika  roy;shyamal  datta
b. d. liu;ronald e. olson
terrance l. worchesky;frank j. crowne
f.  touchard;c.  thibault
r. s. basu;richard a. ferrell
t.  coan;s. l. allen
leonard s. goodman;william j. childs
paolo  di porto;bruno  crosignani
b. k. rao;d. n. tripathy
m. g. payne;w. r. garrett
chun c. lin;mark h. phillips
j. e. aldag;v. c. sutcliffe
i. j. feng;w.  zakowicz
david e. pritchard;william d. phillips
philippe  goy;serge  haroche
d. b. kimball;michael j. cavagnero
t. w. crane;daniel c. lu
hazim  al-abawi;marlan o. scully
william  happer;rajendra p. gupta
phillip r. certain;frank  weinhold
roy j. glauber;guntram  schröder
g.  nolte;brant m. johnson
frederick  raab;david  lieberman
m. c. buchet-poulizac;m.  druetta
t. dean gaily;s. d. rosner
w. g. graham;alfred s. schlachter
andrzej  zardecki;claude  delisle
vernon w. hughes;j.  vetter
deborah k. watson;vincent  mckoy
k. e. miyano;c. h. sohl
krzysztof  gawȩdzki;kazimierz  rza̧źewski
takashi  nakayama;tomoya  akiba
f.  touchard;gerhard  huber
tom j. gray;d. c. gregory
murray  sargent;mario  gronchi
daniel m. chipman;carol a. venanzi
harry l. frisch;marvin  bishop
j. p. downing;w. e. kauppila
frank j. crowne;richard p. leavitt
manuel  galán;carlos f. bunge
meera  chandrasekhar;e.  gürmen
robert b. meyer;charles  rosenblatt
j. o. ekberg;indrek  martinson
thomas a. carlson;pamela r. woodruff
s.  salih;james e. lawler
thomas k. holley;s. c. chung
d.  leep;ronald  geballe
d.  eames;e. g. silver
bernd  crasemann;gene e. ice
f.  touchard;hong tuan duong
charles e. johnson;a.  kponou
g. zu putlitz;daniel c. lu
d. m. blankenship;c. j. david lin
j. f. baret;j. l. firpo
m.  hamada;h.  azechi
j. a. dagata;g. l. findley
c. j. orth;j. d. knight
johann  fischer;michael s. methfessel
gerhard  huber;robert  klapisch
t. c. chu;m.  sebata
s. n. jabr;l. k. lam
r. m. hobson;g. l. ogram
manfred a. biondi;marlin  whitaker
sow hsin chen;c.  vaucamps
giuseppe  compagno;franco  persico
e. j. campbell;m. r. keenan
p. e. serafim;a. s. acampora
c. h. sohl;john b. ketterson
frank e. harris;hendrik j. monkhorst
k.  arnett;james h. mcguire
vu ngoc tuan;d.  dowek
mark h. phillips;l. wilmer anderson
joseph w. haus;fritz  haake
b. g. ritchie;w. r. garrett
szymon  suckewer;russell a. hulse
hugh p. kelly;knut  faegri
s. c. bates;p. h. edmonds
s. r. ryan;m. d. burrows
joseph e. avron;jiří  Čížek
p. l. pillet;p.  jacquinot
michel  tavernier;jean pierre briand
arlen r. zander;grzegorz  lapicki
t. a. detemple;l. a. bahler
g. d. alton;matt d. brown
a.  bengtson;Ö.  staaf
james e. bayfield;ivan a. sellin
k.  fredriksson;hans  lundberg
d. h. tracy;raymond j. fonck
p. l. pillet;p.  juncar
e. g. silver;w.  stodiek
s. m. morita;masayuki  oyamada
christopher  davies;tadayoshi  doke
f.  touchard;m.  de saint-simon
a.  declémy;g.  laplanche
louis  dimauro;harold j. metcalf
t. s. stein;y. k. ho
ram k. varma;h. u. rahman
peter  otto;jiří  Čížek
richard m. schectman;lorenzo j. curtis
shridhar r. gadre;rajeev k. pathak
h.  scheingraber;c. r. vidal
p.  dhez;francois j. wuilleumier
hans  lundberg;k.  fredriksson
t. s. stein;victor  pol
barry g. adams;harris j. silverstone
rocío  jáuregui;carlos f. bunge
a. c. roy;amal k. das
r.  deserio;n.  schaffel
john a. leavitt;daniel d. dietrich
wayne m. itano;david j. wineland
g. zu putlitz;p. a. souder
r. stephen berry;abraham  nitzan
s. m. morita;t. c. chu
j. m. george;d. m. blankenship
j.  welch;jon  siegel
joseph  lajzerowicz;yoseph  imry
gene e. ice;mau hsiung chen
r.  bergmann;f. j. hartmann
toshinobu  takayanagi;akira  yagishita
flemming  besenbacher;h. h. andersen
a.  kponou;s. a. lewis
richard a. rosenberg;s. t. lee
p. a. souder;s.  dhawan
