a.  huetz;d.  vichon
m. e. schillaci;l. f. mausner
k. a. smith;r. f. stebbings
b. l. jhanwar;s. p. khare
g.  saemann-ischenko;f.  löffler
w. j. mielniczuk;jacek  chrostowski
peter  otto;barry g. adams
jonathan  roth;harry l. frisch
m. r. arnfield;r. m. measures
charles l. cleveland;h. a. gersch
rufus h. ritchie;thomas l. ferrell
f.  touchard;a.  pesnelle
john e. rice;s. l. allen
gy.  csanak;b. v. mckoy
giacinto  scoles;m.  anderle
w. j. pietsch;a. j. ratkowski
larry d. gardner;s. d. sharma
j.  basu;s. sen gupta
d.  dowek;vu ngoc tuan
d. c. gregory;c. j. david lin
p. t. leung;werner  brandt
f.  moussa;a. j. leadbetter
r.  geller;d.  van houtte
shin  ito;tatsumi  kawaratani
brant m. johnson;r. h. schuch
paul w. schmidt;p. e. chumbley
r. h. pantell;d. y. wang
vincenzo g. benza;mario  gronchi
gabor j. kalman;r.  calinon
kang l. wang;h. e. henrikson
sadao  nakai;kohei  yamada
jon alan wright;leonard  schlessinger
j.  chapelle;c.  fleurier
ali a. antar;charles d. moak
alfred k. mann;dan  nir
w. r. garrett;b. g. ritchie
h. gordon berry;robert l. brooks
gordon h. dunn;b. k. van zyl
j. e. willis;s. m. shafroth
john t. park;p. j. martin
phillip  sprangle;b.  liberman
john j. kozak;k. a. green
p. j. mallozzi;b. e. campbell
murray  sargent;luigi a. lugiato
r. j. van brunt;a. c. gallagher
kang l. wang;j. l. vuilleumier
mitio  inokuti;daryl a. douthat
takahiro  ueda;d. e. rio
david b. boercker;james w. dufty
eli  yablonovitch;h. s. kwok
hiroyuki m. tanaka;ara  chutjian
henry p. freund;d.  dillenburg
john p. wikswo;bernd a. hess
lloyd  armstrong;mina  vajed-samii
y.  inada;m.  hamada
p. h. edmonds;r. c. isler
werner  pietsch;wolfgang  neuwirth
j. k. simons;per  kaijser
p. a. souder;j.  vetter
marcel  ausloos;p.  clippe
jiří  Čížek;peter  otto
m. y. yu;padma kant shukla
s. g. menon;m. r. gunye
h. c. barr;t. m. boyd
h. l. rothwell;b. k. van zyl
p.  juncar;gerhard  huber
robert j. birgeneau;carl w. garland
w.  wilhelm;f. j. hartmann
esteban  martina;george  stell
w. j. pietsch;bruce j. zabransky
r. stephen berry;paul  rehmus
alfredo  macías;manuel  yáñez
p.  jacquinot;p.  juncar
gene e. ice;marianne  breinig
siddheswar  chaudhuri;darryl d. coon
n. v. udeh;j. l. flinner
jon  siegel;j.  welch
edward a. mason;s. l. lin
michael  rosenbluh;benjamin  lax
john a. duncanson;r. stephen berry
gregory j. hatton;r. f. stebbings
r. s. peterson;d. h. crandall
jeffrey  bokor;j. c. white
riccardo  zanasi;paolo  lazzeretti
j.  richou;a.  lesage
s. p. khare;m. k. sharma
r. l. sinclair;a. w. mckellar
william p. spencer;daniel  kleppner
w. a. schönfeldt;j.  smolorz
harold k. haugen;helge  knudsen
s.  büttgenbach;p.  juncar
s. e. butler;alex  dalgarno
wm. g. hoover;bill  moran
antonio  quattropani;paolo  schwendimann
f.  löffler;v.  brückner
b.  bhattacharyya;s. n. ray
j. o. ekberg;erling  veje
v. l. narasimham;a. s. ramachandran
michael g. littman;jan r. rubbmark
leonard  schlessinger;jon alan wright
s. l. lin;u.  weinert
f.  boehm;kang l. wang
j. l. dunlap;s. c. bates
c.  higgs;r. f. stebbings
a. g. adam;t. dean gaily
danko  antolović;joseph  delhalle
d. j. mcclure;r. s. hozack
kazuo  takatsuka;robert r. lucchese
bruce k. janousek;john i. brauman
l. e. murray;s. c. bates
j. c. barthelat;ph.  durand
terumi  nakagawa;k.  umetani
victor  franco;alvin m. halpern
george e. chamberlain;d. o. heddle
j. e. hardis;robert l. brooks
ph.  durand;m.  pelissier
anthony f. starace;steven trent manson
annette  lecourt;françois  grimaldi
s.  krummacher;francois j. wuilleumier
s.  svanberg;hans  lundberg
s. n. ray;t. p. das
franz  howorka;h.  villinger
d.  ridders;n.  stolterfoht
gaetano  ferrante;rosalia  zangara
p. j. martin;c. j. david lin
s. e. kuhn;h.  ramler
victor  sidis;d.  dhuicq
yoshishige  suzuki;f.  matsuoka
s. e. harris;jeff f. young
a. g. de pinho;n. v. de castro faria
amnon  yariv;chun ching  shih
k.  brau;w.  stodiek
a. k. edwards;nelson  cue
h.  egger;m.  rothschild
m.  hamada;sadao  nakai
i.  fidone;tfr  group
j. p. grandin;m. c. buchet-poulizac
annette  zippelius;eric d. siggia
serge  haroche;claude  fabre
m.  pelissier;j. c. barthelat
h.  azechi;m.  hamada
robert l. brooks;j. e. hardis
einar  hinnov;m.  bitter
john t. park;v. c. sutcliffe
abhay k. ram;vladimir b. krapchev
carmen  cisneros;arnold  russek
santosh k. srivastava;d. f. register
ian e. mccarthy;bidhan c. saha
hitoshi  nishimura;hiroyuki m. tanaka
s.  liberman;p. l. pillet
d.  van houtte;s.  dousson
s.  röhl;j.  smolorz
richard m. schectman;h. p. garnir
g. c. ball;w. n. lennard
c.  vaucamps;g.  nouchi
k.  wakiya;h. s. suzuki
donald f. dubois;harvey a. rose
karol  jankowski;barry g. adams
w. b. westerveld;anna i. mcpherson
david c. cartwright;g. d. meneses
r.  saxena;lorenzo m. narducci
j. h. smart;victor  pol
kenneth i. golden;gabor j. kalman
r. t. hawkins;charles k. rhodes
e.  horsdal-pedersen;p.  bisgaard
w.  denk;w.  wilhelm
tong w. shyn;yu kwon kim
josef  paldus;joseph e. avron
victor hugo ponce;edith c. goldberg
john d. mcnutt;l. m. diana
d.  klimek;a.  mandl
i.  mcgregor;rainer  hippler
yumio  morioka;shiro  hara
t.  baer;james d. hanson
g. c. ball;i. v. mitchell
adi r. bulsara;ralph s. janda
g.  tarlé;m. h. salamon
petr  vogel;f.  boehm
gy.  csanak;fernando j. da paixão
l. m. diana;john d. mcnutt
jonathan  machta;david m. ronis
f.  boehm;r. j. powers
f.  gounand;thomas f. gallagher
b. r. tambe;anthony f. starace
m. c. dharma-wardana;j. l. pellissier
nelson  cue;j. c. poizat
charles d. moak;matthew s. lucas
n. b. narozhny;j. j. sanchez-mondragon
harris j. silverstone;richard k. moats
m. r. keenan;e. j. campbell
d. e. post;szymon  suckewer
y.  inada;a.  tamura
a. g. ryman;david j. rowe
phillip  sprangle;c. m. tang
c. m. jones;g. d. alton
c. l. cocke;r. d. dubois
s. sen gupta;j.  basu
tom j. gray;r. d. dubois
edward r. mcmullen;john p. perdew
h.  neumann;b. k. van zyl
frithjof  karsch;david e. miller
e. e. kunhardt;w. w. byszewski
k. a. safinya;b. e. perry
h. q. le;benjamin  lax
j. p. chabrat;l.  letamendia
m.  kovacs;b. b. srivastava
p.  cavaliere;rosalia  zangara
mitio  inokuti;james d. hanson
thomas f. gallagher;f.  gounand
r. r. alfano;p. p. ho
r. g. rolfes;j.  fryar
quentin c. kessel;g. d. alton
john  keller;john  weiner
t.  von egidy;w.  denk
c. j. david lin;john t. park
w. e. meyerhot;per a. amundsen
b.  duborgel;ph.  gouard
santosh k. srivastava;hiroyuki m. tanaka
j  c. gauthier;john  keller
c.  bréchignac;r.  vetter
richard k. moats;peter  otto
daniel  van labeke;l.  d'hooge
e.  alge;p.  lukac
peter l. lee;brahm  dev
joseph e. avron;peter  otto
warren  ong;steven trent manson
c. h. ma;s. c. bates
manuel  yáñez;alfredo  macías
bill  moran;richard m. more
frederick  raab;thomas h. bergeman
r. j. fortner;kennedy j. reed
pradip m. bakshi;gabor j. kalman
hiroyuki m. tanaka;hitoshi  nishimura
bernard  kirtman;carol a. venanzi
d.  ridders;jose d. garcia
t.  noreland;j.  campos
m. a. whitehead;b.  rooney
s. p. mcglynn;m. aslam baig
robert d. cowan;john e. rice
toshinobu  takayanagi;fumihiro  koike
erkki  kyrölä;r. e. salomaa
r.  buchwald;h. j. kunze
s.  hoppenau;s.  röhl
uriel  frisch;rudolf h. morf
peter  otto;josef  paldus
michael s. feld;d. d. hinshelwood
david p. bacon;elisha r. huggins
brad lee holian;galen k. straub
g. d. alton;quentin c. kessel
w. r. garrett;michael s. pindzola
j. j. reidy;w.  denk
h.  fietz;j.  laane
f.  gresteau;r. i. hall
james g. stuart;daniel j. larson
john  melngailis;h. von känel
uday  gupta;a. k. rajagopal
thomas c. genoni;l. a. wright
g.  gaukler;brant m. johnson
toshinobu  takayanagi;k.  wakiya
kang l. wang;j. p. miller
michael s. pindzola;b. g. ritchie
m.  vedder;niels hessel andersen
h. u. rahman;m. y. yu
j.  kising;martin  dost
b. k. van zyl;d. o. heddle
chérif  bendjaballah;guy  oliver
a. r. kunselman;kang l. wang
b.  bhattacharyya;manoranjan  khan
roscoe b. white;marshall n. rosenbluth
a.  bengtson;a.  arnesen
u.  nielsen;s. m. bentzen
i. a. greenwood;j. h. simpson
george  stell;esteban  martina
x.  husson;m. c. buchet-poulizac
c.  ranganathaiah;k. s. puttaswamy
amal k. das;a. c. roy
j. l. vialle;hong tuan duong
robert a. fisher;b. r. suydam
per a. amundsen;w. e. meyerhot
victor  pol;j. h. smart
g.  d'arrigo;c.  la mesa
mark a. newbold;gregory j. salamo
n.  bras;p.  polak-dingels
b. k. van zyl;h. l. rothwell
henry i. smith;j. d. litster
jürgen  theis;b. r. müller
r. d. dubois;cüneyt  can
wolfgang  sandner;b. e. perry
maurice  cohen;joel i. gersten
c. v. kunasz;daniel f. walls
james g. brennan;david j. land
bruno  crosignani;paolo  di porto
indrek  martinson;j. o. ekberg
g. d. alton;ali a. antar
j. m. goldsmith;david e. nitz
richard  marrus;daniel d. dietrich
s. n. dixit;peter  zoller
jean jacques weis;george  stell
j. s. lin;duane a. dolejsi
richard w. bader;yoram  tal
md.  salimullah;r. p. sharma
a. k. bhatia;john  hiller
j  c. gauthier;n.  bras
nimrod  moiseyev;phillip r. certain
tong w. shyn;william e. sharp
mitsuko  murakami;shinya  kasai
werner  brandt;james e. turner
hitoshi  nishimura;david c. cartwright
wade l. fite;jeffrey c. halle
hans r. griem;raju u. datla
j.  bernasconi;h. r. zeller
frank w. kutzler;calogero renzo natoli
john m. dawson;toshiki  tajima
donald r. beck;yannis  komninos
david  mehaffy;john d. allen
l. a. wright;thomas c. genoni
richard m. more;bill  moran
alfredo  macías;a.  riera
w.  stodiek;e. g. silver
c. h. ma;l. e. murray
vladimir b. krapchev;abhay k. ram
peter  zoller;daniel f. walls
r. j. fortner;jose d. garcia
r.  mayo;thomas j. morgan
daniel f. walls;peter d. drummond
r.  hallin;a.  bengtson
robert j. birgeneau;benjamin m. ocko
chi h. lee;j.  van laak
alfred s. schlachter;j. a. tanis
mineo  kimura;walter r. thorson
arie  zigler;steven  jackel
william c. stwalley;c. robert wu
i. m. de schepper;ezechiel d. cohen
robert w. boyd;paul  narum
r. h. dixon;john f. seely
ramakrishna  gowda;b.  sanjeevaiah
tarasankar  nag;gautam  ghosh
john r. white;a.  langenberg
willis e. lamb;s. r. ryan
r. k. rice;f. d. mcdaniel
w. w. jacobs;s. m. shafroth
a.  kponou;vernon w. hughes
p. f. liao;r.  panock
s. m. morita;a.  kuwako
akira  yagishita;k.  wakiya
p. l. pillet;f.  touchard
e.  redd;v. c. sutcliffe
j. e. bjorkholm;p. f. liao
victor  sidis;vu ngoc tuan
g. d. alton;charles d. moak
a. eugene livingston;h. gordon berry
i. b. nemirovsky;c. r. garibotti
toshiki  tajima;m.  ashour-abdalla
peter  otto;richard k. moats
f.  löffler;w.  schubert
gérard  coulaud;j.  chapelle
s.  büttgenbach;j.  pinard
t. j. kvale;c. j. david lin
c.  thibault;m.  de saint-simon
donald e. wortman;richard p. leavitt
itamar  procaccia;jonathan  machta
p. j. martin;j. m. george
howard s. taylor;ch.  jung
p.  ziem;l. h. toburen
f. b. dunning;g. b. mcmillian
alex  zunger;john p. perdew
d. y. wang;r. h. pantell
